Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2	IntR1	IntR2	LocR1	LocR2	VarMiem1	VarMiem2	ComodínR1	ComodínR2	FelicidadResp1	FelicidadResp2
Buenos días, deberíamos buscar a nuevos miembros para hacer crecer nuestra comunidad, ¿cómo les buscamos?	Poned panfletos por la ciudad.		Salid con una pancarta de abrazos gratis y habladles sobre nosotros.	Salid con una pancarta de abrazos gratis.	0	0	0	0	5	10			5	10
¿Qué más podemos hacer?	Traedme sugerencias de medidas que podríamos implementar para que la gente sea más feliz y atraer a más miembros.	Sugeridme más medidas a implementar.	Apañáoslas.		-5	5	5	0	10	5			5	-5
Cómo deberíamos iniciar a los nuevos miembros?	Cortémosles los meñiques.		Celebremos una reunión informativa.		0	5	5	0					-5	0
Hemos pillado a dos aprendices llevando mal el uniforme, cómo les castigamos?	Quemémoslos en la hoguera.		Obliguémoslos a ir desnudos.		-5	0	10	0	-2				-5	10
Hemos oído que un TuTuber tiene interés por nuestra comunidad. No sabemos sus intenciones, qué hacemos con él?	Llamad al sicario, no podrá perjudicar nuestra misión.	Llamad al sicario.	Invitémosle.		0	5	5	-5					0	0
Parece que una enfermedad está llevandose a muchos de los nuestros, tomamos medidas?	Aquellos dignos de la salvación sobrevivirán solos.	Que sobrevivan solos.	Id al boticario, necesitaremos drogas.	Id al boticario.	0	5	0	0	-10	5			-5	5
Hemos escuchado que algunos miembros están teniendo descendencia sin tu consentimiento, qué hacemos?	¡¡Blasfemia!!		Bienvenidos sean nuevos miembros.		-5	5	5	-5	-3	3			-5	5
Se ha rebelado un grupo de la comunidad y ahora se quieren ir, les dejamos?	Es hora de la caza. Apliquemos un castigo ejemplar.	A por ellos.	Dejadlos ir.		-10	10	10	-10		-3		1	-5	5
Estamos observando que algunos miembros entran en depresión, los ayudamos?	Podemos organizar una sesión terapéutica.		Déjales, se les pasará.		5	0	-10	5					10	-10
Pekta quiere ver a su abuela, aunque sabemos que está prohibido... Deberíamos dejarle ir?	No, ya sabéis que necesitamos cortar todos los lazos que nos separen de la verdad.	No se puede.	Vale, pero que nos traiga de sus galletas caseras.	Vale.	-5	5	5	-10					-5	10
Deberíamos permitir la flagelación?	Solo dirigida a quienes la disfruten.		Servirá para que aprendan lecciones.		0	0	5	10					5	-10
Deberíamos dejar que la gente se tatúe?	Si es con marcas de nuestra comunidad, cualquier tatuaje es bienvenido. 	Sí, tatuajes nuestros.	No deben tatuarse, generará rebeldía entre los miembros.	Ni pensarlo.	5	-5	0	0					5	-5
Deberíamos permitir que haya hombres lobo entre los nuestros?	¿A los hombres muy peludos? claro, todos son bienvenidos.	Que vengan todos los peludos.	Obviamente no, nuestra comunidad es solo para humanos.	Obviamente no.	10	0	5	-5	5		1		5	-5
Deberíamos dar bolígrafos conmemorativos?	Buena idea, generará una mayor sensación de comunidad.	Buena idea.	No, mejor no gastar recursos en esas tonterías.	Mejor no.	5	-5	0	0					5	-5
Podemos hacer una página web para captar nuevos miembros?	No, solo podemos determinar la aptitud de nuestros seguidores en persona.	Nada de presencia en internet.	Claro, tener una presencia online hará que nuestro mensaje llegue a muchas más personas.	Sí, la presencia online es importante.	0	10	5	-5		10			0	5
Se ha quemado la casa de uno de los nuevos, qué podemos hacer?	Reubicadlo.		Quemadle también.		5	-5	-10	10		-1			5	-5
Hemos tenido una buena cosecha, cómo lo celebramos?	Celebremos una fiesta ostentosa.		Celebremos una fiesta moderada.		-5	5	5	-5					10	5
Nos queda poca comida y hay miembros que empiezan a quejarse, qué hacemos?	¡Que empiecen los juegos del hambre!		Sacrificaremos a nuestro miembro más anciano.		0	5	10	0					-10	-5
Se ha infiltrado un vampiro entre nosotros, qué opinas?	SUS, fuera.	Fuera.	Genial, podrá ayudarnos a recolectar sangre para las ofrendas.	Que nos ayude a recolectar sangre.	5	0	-5	10	-1				10	0
Algunos miembros dicen que la comunidad no se toma en serio su misión, qué les decimos?	La misión se encuentra en el interior de cada uno, solo necesitan seguirme para no desviarse.	Que me sigan y lo descubran.	Creemos más actividades destinadas a encontrar una misión.	Creemos más actividades.	5	-5	0	5					-5	5
Creemos que dormir de pie puede llevar a una mayor claridad espiritual, deberíamos probarlo?	Sí, pero ataos a las paredes para no cambiar de postura dormidos.	Me parece bien.	Haced que sea haciendo el pino.	Mejor haciendo el pino.	5	-5	5	10					-5	-10
Nos gustaría tener una de estas mascotas, cuál podríamos tener?	Un perro.		Mosquitos.		10	-5	0	5					10	-10
Creemos que vendría bien para el estado de ánimo de la comunidad tener una de estas mascotas, cuál podemos tener?	Un gato.		Sanguijuelas.		10	-5	0	5					10	-10
Sentimos que sería necesario realizar algún acto de fe para asegurar la fidelidad de los seguidores	Celebraremos un evento en el que tengan que andar sobre un suelo con piedras ardiendo.	Que anden sobre piedras ardiendo.	Reúnan a todos los miembros para aguantar 2 minutos bajo nuestra agua bendita.	A sumergirse en agua bendita.	0	0	5	10		-2			-5	-10
Podríamos reunirnos cada noche para bailar bajo la luz de la Luna?	Sería una actividad perfecta para unir al grupo y conectar nuestras energías.	Perfecto.	No podéis hacer eso, no somos salvajes.	No podéis.	5	0	-10	0					10	-5
El grupo se siente un poco decaído, podríamos proyectar una película esta noche?	Que sea una de las de nuestra librería conjunta.	Sí, pero de las nuestras.	No, ¿acaso no les motiva nuestro propósito?	No.	0	0	-10	-5					10	-10
Lupus y Maki se quieren casar, darás tu bendición?	Por supuesto, son la pareja perfecta.	Por supuesto.	No están preparados todavía.		5	0	-5	5					10	-5
Algunos miembros sugieren quemar casas para ofrecer a los supervivientes vivir con nosotros y unirse a la comunidad	Buena idea, les pillaríamos en su momento de mayor necesidad.	Buena idea.	No, no es lo correcto.		5	-5	10	-10	10				5	-5
Varios pensamos que deberíamos establecer como una regla oficial reconocer que la Tierra es plana, qué opinas?	No haremos eso porque no es cierto.		Me parece bien, si los filósofos pueden elegir qué es verdad y qué no, nosotros también.	Sí, lo elegiremos como verdad.	5	-5	-5	10					-5	5
Necesitamos más actividades para unificar al grupo, qué deberíamos hacer?	Realizaremos sesiones de meditación.		Vayamos a un parque de atracciones.		5	-5	0	-5					0	10
Necesitas algo?	Pedidles al resto de los miembros que me traigan sus ofrendas.	Las ofrendas.	Sí, necesito un masaje ahora.	Un masaje.	-5	0	5	0					0	-5
Hemos observado que algunos de los miembros no han realizado sus ofrendas, qué deberíamos hacer?	Expulsadles de la comunidad.		Encerradles durante unos días para que aprendan la lección.	Encerrados aprenderán la lección.	5	0	0	5	-5				-5	-5
Algunos miembros quieren sacrificar vidas para mostrar su lealtad, les dejamos?	Se permite cualquier sacrificio que se realice por y para nuestra comunidad.	Lo permitiré.	No, estarían matando sin un sentido.		-5	10	10	-10	-5				5	0
Podemos leer este libro? Es acorde a nuestras creencias?	No, todos los libros del exterior están prohibidos.		Creo que es lo suficientemente similar, está bien.	Es acorde, adelante.	0	10	5	-10					-5	5
Entre los fieles, tenemos una duda que no nos deja dormir por las noches, qué vino antes el huevo o la gallina?	El huevo.		La gallina.		5	0	0	5					-5	-5
Mikus y Loru nos han confesado que han perdido su fe, qué hacemos con ellos?	Sacrificadles para darles una lección a los demás sobre lo que ocurre cuando te desvías.	Sacrificadles.	Dejadles ir.		-10	10	10	-10	-2				-10	0
Está surgiendo en nuestra comunidad un gusto por la naturaleza, deberíamos cultivar plantas?	Sí, será bueno que cultiven su sensación de responsabilidad y conexión con la naturaleza.	Sí, les vendrá bien.	Tengo alergia al polen, no seáis desconsiderados.	Ni pensarlo.	5	0	-5	0			1		10	-5
Deberíamos mandarles tareas a los miembros?	Les vendría bien realizar tareas de limpieza y del cuidado del hogar.	Sí, a cuidar nuestro hogar.	Sí, que salgan en busca de donativos.	Sí, a recoger donativos.	5	-5	-5	5					-5	5
Invitamos a más miembros para vivir con nosotros?	Sí, cuantos más vivamos bajo el mismo techo más progreso haremos.	Sí, cuantos más mejor.	No, que tomen la iniciativa ellos.		-5	5	5	-5					5	-5
Algunos miembros han sugerido que demos "saltitos a la pata coja en corro" para divertirnos, lo hacemos?	Claro que sí, revivid vuestra infancia.		No, tenéis otras cosas más importantes que hacer, ya no sois niños.	No, no seais infantiles.	0	0	-5	0					10	-5
Hemos visto que hay mucha gente sin techo por la ciudad, deberíamos invitarles a unirse?	Sí, cuantos más miembros mejor.		No, no son los elegidos.		10	-5	-10	5					5	-5
Queríamos establecer una reunión para jugar a juegos de mesa, lo apruebas?	Sí, os vendrá bien una distracción.		No, a trabajar.		5	-5	-5	5					10	-5
Gika robó a su vecina, la castigamos?	No, probablemente tenía un motivo.		Claro, eso no está bien.		-10	5	5	-5					-5	5
Nos gustaría hacer más platos de spaghetti, te apetece?	¡Ñam, ñam! ¡Spaghetti! Claro, claro.	Claro, claro.	La verdad que no soy fan. 	No soy fan.	5	-5	-5	5					10	-5
Te gustó nuestra tarta de chocolate?	Sí, deberíais hacer más.	Sí.	Mejor regaladme dinero la siguiente vez.	Prefiero dinero.	5	-5	-5	10					10	-10
Hay muchos niños huérfanos, quizás los podemos salvar?	Rescatad a todos los que podáis, pero que no os pillen los centros.	Hacedlo, rescatadles.	Serían demasiados niños, mejor no.	Mejor no.	5	0	5	-5	15				10	-5
Hemos pensado en infiltrarnos en empresas para adoctrinar a los empleados, nos das permiso?	Confío en vosotros.		Es una tarea demasiado compleja.		-5	5	10	-5	5			1	5	-5
Podemos quedar en una piscina y llevar helados para todo el mundo?	Será divertido, dejadme el helado de vainilla.		Estamos en invierno, mendrugos. 		-10	5	10	-5					5	-5
Deberíamos reunirnos los viernes para tomar pizza y plantear debates?	Me apunto.		Creo que mejor meditamos.		10	-5	-10	5					10	0
Deberíamos pedirles dinero a nuestros miembros?	Sí, todo lo que puedan aportar deben aportarlo.		No lo necesitamos por ahora.		-5	0	5	-5					-5	5
Deberíamos salir a recaudar dinero?	Sí. Y difundid nuestro mensaje, cuantos más nos apoyen mejor.	Sí. Y difundid nuestro mensaje.	De hecho, como acto de fe, os ordeno robarlo.	Sí, pero robadlo.	5	-5	-5	5					0	5
Creemos que sería buena idea robar un banco, podemos?	¿Qué os creéis, la Secta de Papel? Bajad de las nubes y recaudad dinero bien.	¿Qué os creéis, la Secta de Papel?	Confío en vosotros, pero si os pillan no trabajáis para mí.	Adelante.	10	-10	-10	10			1		-5	5
Podemos escribir poesía?	Es una forma perfecta de explorar vuestro subconsciente.	Sí, os vendrá bien.	¿Quién os creéis, Shakespeare? Jaja.	¿Quién os creéis, Shakespeare?	10	0	-5	0					10	-5
Podemos estudiar historia?	La historia está formada por muchas mentiras que no os podéis permitir creer.	No, es todo una mentira.	Bien, os daré clases para enseñárosla.	Bien, os la enseñaré yo.	0	-5	0	5				1	-5	5
Hemos pensado en pintar cuadros para poder venderlos y recaudar dinero para la comunidad, qué te parece?	Me parece perfecto.		Vale, pero buscad gente con talento.	Vale, pero gente con talento.	10	5	-5	0					10	-10
Deberíamos realizar reuniones para enseñar nuestras bases y cultura a los nuevos integrantes?	Sí, es importante que estén informados.		¿Acaso no sirven mis explicaciones?		-5	0	5	0					5	-5
Nos apetece jugar a la rayuela, podemos?	Sí, podéis hacerlo en nuestro jardín.		No, no es una actividad productiva.		5	0	-5	0					10	-5
Se ha hablado de organizar una competición de deportes anual y exclusiva de nuestra comunidad, lo apruebas?	Podría ser divertido. Si podéis invitar a personas de fuera incluso mejor, tal vez conseguimos que se unan.	Podría ser divertido.	No creo que el deporte nos ayude a cumplir nuestros objetivos.	No creo que el deporte ayude.	10	0	-5	0					10	-5
Te parece bien que intentemos salvar a los estudiantes universitarios del sistema educativo y la sociedad actual?	Sí, es más fácil convencerles en esta etapa de su vida.	Sí, son perfectos.	Sí, traedles aunque se resistan. Les reformaremos.	Sí, traedles aunque se resistan.	10	5	5	10					5	-5
Queremos realizar un ritual para invocar a un ente poderoso que nos guíe en el futuro aunque haya que sacrificar a alguien, podemos?	Sí, todo sacrificio por el bien de nuestra comunidad es bienvenido.	Sí, es un acto necesario.	No merece la pena.		-10	10	10	-10	-1				-10	-5
Podemos crearnos un canal de TuTube para dar visibilidad a nuestra comunidad y conseguir más miembros?	Mientras que ayude a llegar a más posibles futuros miembros, me parece genial.	Me parece genial.	No podemos meternos en las redes sociales, es demasiado peligroso.	No podemos.	10	0	-10	0					5	-5
Algunos miembros quieren "invocar el espíritu del cuñado definitivo para que explique qué invertir en bolsa", les dejas?	Claro, es importante conocer ese tema.		No es su propósito hacer eso.		-5	10	10	-10					5	-5
Hemos decidido que nos gustaría tener una sesión espiritista para reencontrarnos con ex-miembros que se han sacrificado por nuestra comunidad	Estaría bien poder volver a conectar con ellos.		Deberíamos dejarles decascansar, les vamos a ver pronto de todas maneras.	Mejor no.	-5	5	10	-5					10	-5
Algunos miembros quieren estafar abuelitas por llamada como prueba de lealtad, crees que está bien?	Eso es peor que muchas de las otras cosas que hemos hecho, no.	No.	Definitivamente creo que demostraría de lo que son capaces.	Demostrará su lealtad, sí.	0	-5	-5	5					-5	-5
Hemos creado un baile para atraer la lluvia, podemos hacerlo?	Claro, es un buen modo de unir la comunidad y atraer buenas cosechas.	Claro.	No me gusta la idea, me parece una estupidez que no va a funcionar.	No.	5	-5	5	-5					10	-10
Podemos establecer como actividad oficial ver anime?	Creo que os puede desviar de la realidad que estamos construyendo. Es demasiado fantasioso.	Creo que no os viene bien.	¡Sí! Yo también quiero.		-5	5	5	-5					-5	10
¿Qué juego hizo Willyrex?	¡¡QUÉ JUEGO HIZO WILLYREX!!		No sé de qué me hablas. Ponte a trabajar.		-5	5	5	-5					0	0
Podemos especializarnos en el control del aire?	¿Creéis que la vida es una serie?		Alcanzad el límite de vuestras capacidades.		5	-5	-5	5					-5	5
Hemos pensado en crear retos para que los fieles los puedan superar, qué opinas de ver una peli dramática sin llorar en el intento?	Creo que definitivamente será un reto difícil.		Deberíamos poner retos más duros.		5	-5	-5	5			1		5	-5
Podríamos crear un videojuego para adoctrinar a más gente?	Sí, están muy de moda en la sociedad actual, podríamos mostrarles nuestros mensajes.	Sí, están bastante de moda.	No va dar tiempo, se aproxima el fin del mundo. Mejor hacer actividades más productivas.	Mejor no.	-5	5	5	-5					10	-10
Varios fieles piensan que los valores de lealtad no se están enseñando de forma correcta, deberíamos tomar alguna medida?	Que confíen en el proceso, lo acabarán entendiendo.		Bueno, pues enseñadles lo que habéis aprendido los más fieles y entendidos.	Enseñádselos.	0	-5	0	5					-5	5
Creemos que deberíamos sacrificar a nuestros peluches más preciados para transmitir más de nuestras energías en esta comunidad, estás de acuerdo?	Definitivamente son objetos preciados que beneficiarán las energías de la comunidad.	Definitivamente nos beneficiará.	Creo que los sacrificios deberían ser de seres vivos.	Deberían ser seres vivos.	-5	-10	5	10					-5	-5
