Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2	IntR1	IntR2	LocR1	LocR2	VarMiem1	VarMiem2	ComodínR1	ComodínR2	FelicidadResp1	FelicidadResp2
Com hauríem d'iniciar als nous membres?	Tallem-los els menovells.		Celebrem una reunió informativa. 		0	5	5	0					-5	0
Hem enxampat a dos aprenents portant malament l'uniforme, com els castiguem?	Cremem-los a la foguera.		Obliguem-los a anar despullats. 		-5	0	10	0	-2				-5	10
Hem sentit que un TuTuber té interès per la nostra secta. No sabem les seves intencions, què fem amb ell?	Crideu al sicari, no podrà perjudicar la nostra missió.	Crideu al sicari.	Invitem-lo. 		0	5	5	-5					0	0
Sembla que una malaltia s'està emportant a molts dels nostres, hem de prendre mesures?	Aquells dignes de la salvació sobreviuran sols.	Que sobrevisquin sols. 	Aneu a l'apotecari, necessitem drogues. 	Aneu a l'apotecari.	0	5	0	0	-10	5			-5	5
Hem sentit que alguns membres estan tenint descendència sense consentiment, què fem?	Blasfèmia!!		Benvinguts siguin els nous membres. 		-5	5	5	-5	-3	3			-5	5
S'ha revelat un grup de la secta i ara diuen que volen marxar, els deixem?	És hora de la caça. Apliquem un càstig exemplar. 	A per ells.	Deixeu-los marxar.		-10	10	10	-10		-3		1	-5	5
Estem observant que alguns membres entren en depressió, els ajudem?	Podem organitzar una sessió terapèutica. 		Deixeu-los, ja els hi passarà.		5	0	-10	5					10	-10
Pekta vol veure a la seva àvia, encara que sabem que està prohibit... Hauríem de deixar-la anar?	No, ja sabeu que necessitem tallar tots els vincles que ens separen de la veritat.	No es pot.	D'acord, però que ens porti de les seves galetes casolanes. 	D'acord.	-5	5	5	-10					-5	10
Hauríem de permetre la flagel·lació?	Només dirigida a qui ho gaudeixi. 		Servirà perquè aprenguin llissons. 		0	0	5	10					5	-10
Hauríem de deixar que la gent es fes tatuatges?	Si és amb les marques de la nostra comunitat, qualsevol tatuatge és benvingut. 	Sí, tatuatges nostres.	No han de tatuar-se, provocarà rebel·lia entre els seus membres. 	Ni pensar-ho. 	5	-5	0	0					5	-5
Hauríem de permetre que hi hagi homes llop entre nosaltres?	Als homes molt peluts? Per descomptat! Tots són benvinguts. 	Que vinguin tots els peluts. 	Òbviament no, la nostra comunitat és només per humans. 	Òbviament no.	10	0	5	-5	5		1		5	-5
Hauríem de donar bolígrafs commemoratius?	Bona idea, generarà una major sensació de comunitat. 	Bona idea. 	No, millor no gastar recursos en aquestes ximpleries. 	Millor que no. 	5	-5	0	0					5	-5
Podem fer una pàgina web per captar nous membres?	No, només podem determinar les aptituds dels nostres seguidors en persona. 	Res de presència a internet. 	Per descomptat, tenir una presència en línia farà que el nostre missatge arribi a moltes més persones. 	Sí, la presència en línia és important.	0	10	5	-5		10			0	5
S'ha cremat la casa d'un dels nous, què podem fer?	Reubiqueu-los.		Cremeu-la també. 		5	-5	-10	10		-1			5	-5
Hem tingut una bona collita, com ho celebrem?	Celebrem una festa ostentosa. 		Celebrem una festa moderada.		-5	5	5	-5					10	5
Ens queda poc menjar i hi ha membres que s'estan començant a queixar, què fem?	Que comencin els jocs de la fam!		Sacrificarem el nostre membre més ancià.		0	5	10	0					-10	-5
S'ha infiltrat un vampir entre nosaltres, què n'opines?	SUS ඞ , fora.	Fora. 	Genial, podrà ajudar-nos a recol·lectar sang per les ofrenes. 	Que ens ajudi a recol·lectar sang. 	5	0	-5	10	-1				10	0
Alguns membres diuen que la comunitat no es pren seriosament la seva missió, què els diem?	La missió es troba a l'interior de cadascú, només necessiten seguir-me per no desviar-se. 	Que em segueixin i ho descobreixin. 	Creem més activitats destinades a trobar una missió. 	Creem més activitats. 	5	-5	0	5					-5	5
Creiem que dormir dempeus pot portar a una major claredat espiritual, ho hauríem de provar?	Sí, però lligueu-vos a les parets per no canviar de postura mentre dormiu. 	Em sembla bé.	Feu que sigui fent la figuereta. 	Millor fent la figuereta. 	5	-5	5	10					-5	-10
Ens agradaria tenir una d'aquestes mascotes, quina podríem tenir?	Un gos.		Mosquits. 		10	-5	0	5					10	-10
Creiem que podria anar bé per millorar l'estat d'ànim de la comunitat tenir una d'aquestes mascotes, quina podem tenir?	Un gat.		Sangonera		10	-5	0	5					10	-10
Sentim que seria necessari realitzar algun acte de fe per assegurar la fidelitat dels seguidors	Celebrarem l'esdeveniment en el qual hagin de caminar sobre un terra amb pedres ardents.	Que caminin sobre pedres ardents.	Reuniu a tots els membres per aguantar 2 minuts sota la nostra aigua beneïda. 	A submergir-se en aigua beneïda. 	0	0	5	10		-2			-5	-10
