Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2
Good morning, we should look for new members to grow our community, how should we do that?	Post flyers around the city.		Go out with a free hugs banner and talk to them about us.	Go out with a free hug banner.
What else can we do?	Bring me suggestions of measures we could implement to make people happier and attract more members.	Suggest me more measures to implement.	Figure it out.	
How should we initiate new members?	Let's cut off their pinkies.		Let's hold an informational meeting.	
We caught two of our apprentices wearing the wrong uniform, how do we punish them?	Burn them at the stake.		Let's force them to go naked.	
We've heard that a TuTuber is interested in our community. We don't know his intentions, what do we do with him?	Call the hitman, he will not be able to harm our mission.	Call the hitman.	Let's invite him.	
It seems that a disease is taking many of our people, should we take action?	Those worthy of salvation will survive on their own.	Let them survive on their own.	Go to the drug store, we'll need some drugs.	Go to the drug store.
We've heard that some members are having descendants without your consent, what should we do?	Blasphemy!!		All new members are welcome.	
A group of our community has rebelled and now they want to leave, should we let them?	It's time for the hunt. Let's apply an exemplary punishment.	Gotta catch'em all!	Let them go.	
We are observing that some members are starting to get depressed, should we help them?	We can organize a therapeutic session.		Let them be, they'll get over it.	
Pekta wants to see their grandmother, although we know it's forbidden... Should we let them go?	No, you know we need to cut all ties that separate us from the truth.	We can't.	Okay, but let they have to bring us some of her homemade cookies.	Ok.
Should we allow flagellation?	Only for those who enjoy it.		It will serve to teach them lessons.	
Should we let people get tattoos?	If it's with marks from our community, any tattoo is welcome.	Yes, our tattoos.	They can't get tattooed, it will create rebellion among the members.	No way.
Should we allow werewolves among our people?	Very hairy men? Sure, all are welcome.	Let all the hairy ones come.	Obviously not, our community is for humans only.	Obviously not.
Should we give commemorative pens?	Good idea, it will generate a greater sense of community.	Good idea.	No, better not to waste resources on such nonsense.	No, better not.
Can we make a website to attract new members?	No, we can only determine the suitability of our followers in person.	Best not to have a presence on the Internet.	Sure, having an online presence will get our message out to many more people.	Yes, online presence is important.
The house of one of the new members has burned down, what can we do?	Relocate them.		Burn them too.	
We've had a good harvest, how should we celebrate it?	Let's have a swanky party.		Let's have a moderate party.	
We are low on food and some members are starting to complain, what should we do?	Let the hunger games begin!		We'll sacrifice our most elderly member.	
A vampire has infiltrated among us, what do you think?	SUS, out.	Out.	Great, they'll be able to help us collect blood for the offerings.	They can help us collect blood.
Some members say that the community does not take its mission seriously, what do we tell them?	The mission is found within each one of you, you only need to follow me so that you do not go astray.	Let them follow me and discover it.	Let's create more activities aimed at finding a mission.	Let's create more activities.
We believe that sleeping standing up could lead to greater spiritual clarity, should we try it?	Yes, but tie yourselves to the walls so that you don't change position in your sleep.	That's fine with me.	Yes, but make it a handstand.	
We would like to have one of these pets, which one could we have?	A dog.		Mosquitoes.	
We think it would be good for the mood of the community to have one of these pets, which one can we have?	A cat.		Leeches.	
We feel it would be necessary to perform some act of faith to ensure the loyalty of the followers.	We will hold an event in which they'll have to walk on a floor with burning stones.	Have them walk on burning stones.	Gather all members together to last for 2 minutes under our holy water.	Last 2 minutes under our holy water.
Could we meet every night to dance under the moonlight?	It would be a perfect activity to unite the group and connect our energies.	Perfect.	You can't do that, we are not wild creatures.	You can't.
The group is feeling a little down, could we show a movie tonight?	Get one from our shared library.	Yes, but one of ours.	No, or are they not sufficiently motivated by our purpose?	No.
Lupus and Maki want to get married, will you give your blessing?	Of course, they are the perfect match.	Of course.	They are not ready yet.	
Some members suggest burning houses to offer survivors to live with us and join the community.	Good idea, we would catch them at their time of greatest need.	Good idea.	No, it's not the right thing to do.	
Several of us think that we should make it an official rule to recognize that the Earth is flat, what do you think?	We won't do that because it's not true.		It's fine with me, if philosophers can choose what's true and what's not, so can we.	Yes, we will choose it as our truth.
We need more activities to unify the group, what should we do?	We will hold meditation sessions.		Let's go to an amusement park.	
Do you need something?	Ask the rest of the members to bring me their offerings.	The offerings.	Yes, I need a massage now.	A massage.
We have noticed that some of the members have not made their offerings, what should we do?	Kick them out from the community.		Lock them up for a few days so they learn their lesson.	They'll learn their lesson locked up.
Some members want to sacrifice lives to show their loyalty, should we let them?	Any sacrifice made by and for our community is allowed.	I'll allow it.	No, they'd be killing without a reason.	
Can we read this book? Is it in line with our beliefs?	No, all outside books are forbidden.		I think it's similar enough, all right.	It is in accordance, go ahead.
Among the faithful, we have a doubt that does not let us sleep at night, what came before? the chicken or the egg?	The egg.		The chicken.	
Mikus and Loru have confessed to us that they have lost their faith, what do we do with them?	Sacrifice them to teach the rest a lesson about what happens when you go astray.	Sacrifice them 	Let them go.	
A taste for nature is emerging in our community, should we grow plants?	Yes, it will be good for the members to cultivate their sense of responsibility and connection to nature.	Yes, it'll be good for them.	I have a pollen allergy, don't be inconsiderate.	No way.
Should we give homework to the members?	It would be good for them to do housekeeping and cleaning chores.	Yes, housekeeping and cleaning chores.	Yes, make them go out for donations.	Yes, collecting donations.
Should we invite more members to live with us?	Yes, the more we live under the same roof the more progress we will make.	Yes, the more the merrier.	No, let them take the initiative.	
Some members have suggested that we "hop on one leg in a circle" for fun, should we do it?	Sure, relive your childhood.		No, you have other more important things to do, you are no longer children.	No, don't be childish.
We have seen that there are a lot of homeless people around town, should we invite them to join?	Yes, the more members the better.		No, they are not the chosen ones.	
We wanted to set up a meeting to play board games, do you approve?	Yes, you could use a distraction.		No, back to work.	
Gika stole from her neighbor, shall we punish her?	No, she probably had a motive.		Of course, that's not okay.	
