Eventos	Respuesta1	CortoR1	Respuesta2	CortoR2	IntR1	IntR2	LocR1	LocR2	VarMiem1	VarMiem2	ComodínR1	ComodínR2	FelicidadResp1	FelicidadResp2
Cómo deberíamos iniciar a los nuevos miembros?	Cortémosles los meñiques.		Celebremos una reunión informativa.		0	-5	10	5					-5	0
Hemos pillado a dos aprendices llevando mal el uniforme. ¿Cómo les castigamos?	Quemémoslos en la hoguera.		Obliguémoslos a ir desnudos.		5	0	10	0					-10	5
Hemos oído que un youtuber tiene interés por nuestra secta. No sabemos sus intenciones. ¿Qué hacemos?	Llamad al sicario, no podrá perjudicar nuestra misión.	Llamad al sicario.	Invitémosle.		0	5	10	-5					0	5
Parece que una enfermedad está llevandose a muchos de los nuestros. ¿Deberíamos hacer algo?	Que sobrevivan aquellos dignos de la salvación.	Que sobrevivan solos.	Id al boticario, necesitaremos drogas.		5	-5	5	5					-5	0
Hemos escuchado que algunos miembros están teniendo descendencia sin tu consentimiento. ¿Qué hacemos?	¡¡Blasfemia!!		Bienvenidos sean nuevos miembros.		0	0	5	-5		3			-5	5
Se ha rebelado un grupo de la secta y ahora se quieren ir. ¿Les dejamos?	Es hora de la caza.		Debemos capturarlos.		-5	0	10	5					0	0
Estamos observando que algunos miembros están entrando en depresión. ¿Que hacemos?	Podemos organizar una sesión terapéutica.		Déjales, se les pasará.		-5	5	-5	5					10	-10
Oye, Pekta quiere ver a su abuela, pero sabemos que está prohibido, ¿qué opinas, deberíamos dejarle ir?	No, ya sabéis que necesitamos cortar todos los lazos que nos separen de la verdad.	No se puede.	Vale, pero que nos traiga galletas.		-5	0	5	-5					-5	5
Deberíamos permitir la flagelación?	Solo si lo disfrutan.		Servirá para que aprendan lecciones.		0	5	0	10					5	-10
Deberíamos dejar q la gente se tatúe?	Si es con marcas de nuestra comunidad, cualquier tatuaje es bienvenido. 	Sí, un tatuaje nuestro.	No deben tatuarse, generará rebeldía entre los miembros.	No deben tatuarse.	-5	0	5	0					5	-5
Deberíamos permitir a los hombres lobo?	¿A los hombres muy peludos? claro, todos son bienvenidos.	Que vengan todos los peludos.	Obviamente no, nuestra comunidad es solo para humanos.	Obviamente no.	-5	0	5	-5					5	-5
Deberíamos dar bolígrafos conmemorativos?	Buena idea, generará una mayor sensación de comunidad.	Buena idea.	No, mejor no gastar recursos en esas tonterías.		-5	0	5	0					5	-5
